1,1000,-0.0062,2026-03-05T04:43:48.754833
1,1000,-0.0111,2026-03-05T08:55:18.431633
2,1000,-0.0113,2026-03-05T08:57:56.499559
3,1000,-0.0135,2026-03-05T09:00:38.557631
4,1000,-0.0082,2026-03-05T09:03:58.294000
5,1000,-0.0094,2026-03-05T09:06:51.249625
1,1000,-0.0098,2026-03-05T09:12:48.678065
2,1000,-0.0066,2026-03-05T09:16:19.710608
3,1000,-0.0096,2026-03-05T09:19:17.214340
4,1000,-0.0099,2026-03-05T09:22:32.779548
5,1000,-0.0085,2026-03-05T09:26:45.241259
6,1000,-0.0109,2026-03-05T09:30:57.637291
7,1000,-0.0085,2026-03-05T09:35:10.288619
8,1000,-0.0095,2026-03-05T09:38:27.444867
9,1000,-0.0089,2026-03-05T09:41:38.189391
10,1000,-0.0085,2026-03-05T09:45:03.938179
11,1000,-0.0084,2026-03-05T09:48:24.240701
12,1000,-0.0111,2026-03-05T09:51:25.811339
13,1000,-0.0107,2026-03-05T09:54:15.755818
14,1000,-0.0095,2026-03-05T09:57:21.515734
15,1000,-0.0087,2026-03-05T10:00:24.160578
16,1000,-0.0097,2026-03-05T10:03:16.171415
17,1000,-0.0080,2026-03-05T10:06:01.968335
18,1000,-0.0096,2026-03-05T10:09:14.066451
19,1000,-0.0090,2026-03-05T10:12:20.003551
20,1000,-0.0101,2026-03-05T10:15:49.316278
21,1000,-0.0087,2026-03-05T10:18:20.059195
22,1000,-0.0079,2026-03-05T10:21:01.206957
23,1000,-0.0092,2026-03-05T10:23:31.926238
24,1000,-0.0094,2026-03-05T10:25:46.240366
25,1000,-0.0101,2026-03-05T10:27:52.492383
26,1000,-0.0101,2026-03-05T10:30:54.862515
27,1000,-0.0089,2026-03-05T10:35:18.277023
28,1000,-0.0091,2026-03-05T10:39:08.831991
29,1000,-0.0091,2026-03-05T10:42:20.237558
30,1000,-0.0085,2026-03-05T10:45:25.301979
31,1000,-0.0087,2026-03-05T10:48:26.547520
32,1000,-0.0097,2026-03-05T10:51:12.684107
33,1000,-0.0083,2026-03-05T10:54:23.512053
34,1000,-0.0098,2026-03-05T10:57:19.519705
35,1000,-0.0085,2026-03-05T11:00:26.257448
36,1000,-0.0091,2026-03-05T11:03:32.789432
37,1000,-0.0092,2026-03-05T11:06:48.249874
38,1000,-0.0094,2026-03-05T11:09:37.571281
39,1000,-0.0086,2026-03-05T11:12:42.960453
40,1000,-0.0097,2026-03-05T11:15:33.135501
41,1000,-0.0097,2026-03-05T11:18:18.436150
42,1000,-0.0092,2026-03-05T11:21:56.209673
43,1000,-0.0089,2026-03-05T11:24:46.933276
44,1000,-0.0093,2026-03-05T11:28:34.717252
45,1000,-0.0098,2026-03-05T11:31:23.724286
46,1000,-0.0100,2026-03-05T11:34:32.242928
47,1000,-0.0085,2026-03-05T11:37:28.524627
48,1000,-0.0081,2026-03-05T11:40:24.470806
49,1000,-0.0084,2026-03-05T11:43:46.368081
50,1000,-0.0096,2026-03-05T11:48:25.006572
51,1000,-0.0086,2026-03-05T11:51:22.916924
52,1000,-0.0090,2026-03-05T11:53:58.881560
53,1000,-0.0098,2026-03-05T11:57:10.073641
54,1000,-0.0082,2026-03-05T12:00:22.524792
55,1000,-0.0095,2026-03-05T12:03:16.265771
56,1000,-0.0081,2026-03-05T12:11:17.931854
57,1000,-0.0094,2026-03-05T12:13:36.721318
58,1000,-0.0096,2026-03-05T12:15:54.465362
59,1000,-0.0081,2026-03-05T12:18:21.807792
1,1000,-22516.0283,2026-03-06T07:16:00.989278
2,1000,-5200.1521,2026-03-06T07:19:09.106609
3,1000,-4654.1531,2026-03-06T07:21:37.500637
4,1000,-6853.3739,2026-03-06T07:24:37.233635
5,1000,-7251.2526,2026-03-06T07:28:16.990573
6,1000,-5860.3902,2026-03-06T07:32:19.312688
7,1000,-119814.7039,2026-03-06T07:35:13.267193
8,1000,-6712.7031,2026-03-06T07:37:56.139325
9,1000,-7373.1333,2026-03-06T07:40:19.853833
10,1000,-5321.1942,2026-03-06T07:42:29.188287
11,1000,-7652.0763,2026-03-06T07:44:33.875446
12,1000,-5908.8175,2026-03-06T07:46:33.667221
13,1000,-6825.1815,2026-03-06T07:48:36.714069
14,1000,-5769.1319,2026-03-06T07:50:45.855604
15,1000,-7549.5322,2026-03-06T07:52:42.155366
16,1000,-8330.7453,2026-03-06T07:54:45.267760
17,1000,-5600.9486,2026-03-06T07:56:47.721222
18,1000,-9109.8607,2026-03-06T07:58:48.324526
19,1000,-7064.7491,2026-03-06T08:00:50.611667
20,1000,-6139.1029,2026-03-06T08:02:44.127839
21,1000,-5561.7998,2026-03-06T08:04:52.376385
22,1000,-5505.1183,2026-03-06T08:06:46.371532
23,1000,-7278.4081,2026-03-06T08:08:44.730773
24,1000,-5391.6761,2026-03-06T08:10:48.871120
25,1000,-5814.0651,2026-03-06T08:12:50.615918
26,1000,-7213.8732,2026-03-06T08:14:44.980436
27,1000,-5502.7548,2026-03-06T08:16:59.751782
28,1000,-7972.3713,2026-03-06T08:19:02.353697
29,1000,-7487.8741,2026-03-06T08:21:07.088979
30,1000,-6485.1444,2026-03-06T08:23:21.707790
31,1000,-8351.3947,2026-03-06T08:25:27.470243
32,1000,-7632.5574,2026-03-06T08:27:26.605871
33,1000,-10026.8932,2026-03-06T08:29:28.544936
34,1000,-6708.4667,2026-03-06T08:31:38.310051
35,1000,-9670.8678,2026-03-06T08:33:46.655800
36,1000,-6498.0126,2026-03-06T08:35:42.988263
37,1000,-5710.9498,2026-03-06T08:37:38.961850
38,1000,-6357.1524,2026-03-06T08:39:31.926464
39,1000,-6445.1923,2026-03-06T08:41:29.371142
40,1000,-6349.9413,2026-03-06T08:43:43.358143
41,1000,-7736.0910,2026-03-06T08:45:41.112414
42,1000,-9723.2684,2026-03-06T08:47:39.045574
43,1000,-7985.4043,2026-03-06T08:49:36.235858
44,1000,-5115.8323,2026-03-06T08:51:31.340528
45,1000,-17593.9020,2026-03-06T08:53:42.910557
46,1000,-10402.6278,2026-03-06T08:55:42.174664
47,1000,-20930.2107,2026-03-06T08:57:40.681058
48,1000,-7321.3294,2026-03-06T08:59:36.660636
49,1000,-13005.7703,2026-03-06T09:01:35.644846
50,1000,-5273.3250,2026-03-06T09:03:34.366290
51,1000,-7553.8651,2026-03-06T09:05:45.131872
52,1000,-9641.1122,2026-03-06T09:07:42.161253
53,1000,-9888.3409,2026-03-06T09:09:45.531933
54,1000,-7303.8563,2026-03-06T09:11:50.060568
55,1000,-4821.5605,2026-03-06T09:13:48.099196
56,1000,-11642.5764,2026-03-06T09:15:46.216623
57,1000,-8801.2567,2026-03-06T09:17:56.319682
58,1000,-6560.3453,2026-03-06T09:21:04.075143
59,1000,-5451.6553,2026-03-06T09:23:16.162662
60,1000,-8986.3033,2026-03-06T09:25:18.567052
61,1000,-7955.1074,2026-03-06T09:27:26.709836
62,1000,-11807.7722,2026-03-06T09:29:40.323211
63,1000,-4685.1883,2026-03-06T09:31:55.999826
64,1000,-5724.6860,2026-03-06T09:34:09.995587
65,1000,-6768.5264,2026-03-06T09:36:19.828360
66,1000,-5253.0179,2026-03-06T09:42:08.973001
67,1000,-59605.4699,2026-03-06T09:44:17.035361
68,1000,-6900.4033,2026-03-06T09:46:13.092794
69,1000,-6059.7889,2026-03-06T09:48:17.627764
70,1000,-7733.7518,2026-03-06T09:50:26.101816
71,1000,-13412.6835,2026-03-06T09:52:30.515603
72,1000,-9112.9737,2026-03-06T09:54:34.833456
73,1000,-6345.9142,2026-03-06T09:56:43.017971
74,1000,-6707.2063,2026-03-06T09:58:49.678297
75,1000,-4635.4186,2026-03-06T10:06:01.765952
76,1000,-5706.6566,2026-03-06T10:08:01.850726
77,1000,-6863.5754,2026-03-06T10:10:14.917000
78,1000,-6335.4507,2026-03-06T10:12:25.187468
79,1000,-6123.7560,2026-03-06T10:14:36.335909
80,1000,-5240.2078,2026-03-06T10:16:43.670789
81,1000,-8201.1632,2026-03-06T10:18:50.426281
82,1000,-15817.5528,2026-03-06T10:21:09.043870
83,1000,-7928.4794,2026-03-06T10:25:26.289222
84,1000,-10578.4036,2026-03-06T10:29:26.591953
85,1000,-10398.6000,2026-03-06T10:33:32.878691
86,1000,-6187.3319,2026-03-06T10:54:05.245123
87,1000,-7074.3781,2026-03-06T10:57:58.163947
88,1000,-17969.3654,2026-03-06T11:02:02.504454
1,1000,-17833.7175,2026-03-11T01:34:49.115483
2,1000,-6844.6696,2026-03-11T01:37:13.748646
3,1000,-34585.0107,2026-03-11T01:39:44.063042
4,1000,-8554.3289,2026-03-11T01:42:13.487772
5,1000,-8461.8034,2026-03-11T01:44:41.262840
6,1000,-6055.6276,2026-03-11T01:47:18.857053
7,1000,-15424.9517,2026-03-11T01:49:48.403826
8,1000,-6102.5574,2026-03-11T01:52:29.415875
9,1000,-6974.7534,2026-03-11T01:55:18.920557
10,1000,-10332.7506,2026-03-11T01:59:20.517507
11,1000,-6327.3655,2026-03-11T02:03:28.436244
12,1000,-8249.8229,2026-03-11T02:08:29.100006
